year,popularity,danceability,energy,loudness,tempo
2004,46.0,0.706,0.665,-5.348,89.993
2008,78.0,0.727,0.729,-2.99,117.932
2000,65.0,0.869,0.887,-4.505,129.221
2000,64.0,0.779,0.834,-2.773,100.46
2000,52.0,0.839,0.641,-5.669,97.004
2010,1.0,0.84,0.482,-7.116,95.498
2015,71.0,0.513,0.768,-4.868,84.264
2006,71.0,0.407,0.558,-13.609,71.815
2006,63.0,0.705,0.806,-3.607,103.383
2006,76.0,0.403,0.422,-13.964,122.728
2017,76.0,0.602,0.707,-4.097,75.087
2017,67.0,0.564,0.745,-7.733,170.661
2008,56.0,0.671,0.701,-5.035,131.977
2001,53.0,0.519,0.874,-5.122,96.072
2019,35.0,0.645,0.862,-4.757,119.991
2009,0.0,0.894,0.93,-4.577,120.02
2013,39.0,0.705,0.783,-5.971,140.022
2012,72.0,0.727,0.937,-2.871,132.067
2014,78.0,0.399,0.787,-2.88,117.089
2014,70.0,0.421,0.791,-4.998,130.075
2016,67.0,0.592,0.8,-4.931,89.972
2016,68.0,0.668,0.725,-6.127,191.944
2004,16.0,0.818,0.579,-4.475,89.987
2004,28.0,0.878,0.699,-5.897,104.838
2004,21.0,0.629,0.532,-7.88,90.098
2006,58.0,0.94,0.743,-5.166,118.988
2006,53.0,0.865,0.45,-9.387,99.989
2006,52.0,0.801,0.454,-6.035,125.139
2008,69.0,0.83,0.857,-4.194,137.982
2008,65.0,0.74,0.945,-4.442,130.015
2001,63.0,0.721,0.737,-2.734,97.996
2001,58.0,0.582,0.707,-4.487,78.375
2002,60.0,0.683,0.722,-4.039,95.012
2004,57.0,0.564,0.6,-6.814,78.955
2003,48.0,0.6,0.736,-6.228,158.108
2016,79.0,0.774,0.753,-5.446,119.002
1999,73.0,0.725,0.583,-9.942,79.984
2003,44.0,0.512,0.525,-6.823,169.951
2001,47.0,0.631,0.821,-7.853,118.007
2010,42.0,0.817,0.939,-6.079,128.0
2006,69.0,0.675,0.828,-5.799,122.229
2006,57.0,0.673,0.913,-4.981,124.484
2000,52.0,0.742,0.732,-6.046,97.922
2000,55.0,0.822,0.847,-6.729,107.908
2001,68.0,0.802,0.903,-3.267,128.93
2001,60.0,0.624,0.85,-4.754,98.525
2006,0.0,0.683,0.886,-5.045,100.04
2006,0.0,0.688,0.734,-4.569,140.004
2006,0.0,0.709,0.891,-3.688,141.04
2008,76.0,0.534,0.87,-3.078,126.019
2010,46.0,0.614,0.792,-4.907,91.066
2010,60.0,0.563,0.671,-4.788,91.964
2010,76.0,0.7,0.709,-5.006,122.019
2012,76.0,0.674,0.628,-7.079,103.998
2012,71.0,0.457,0.823,-4.76,192.205
2016,68.0,0.632,0.702,-5.92,162.958
2013,48.0,0.474,0.707,-4.534,83.235
2015,68.0,0.383,0.43,-8.644,107.005
2006,59.0,0.489,0.955,-2.771,129.352
2001,65.0,0.643,0.981,-6.644,140.01
2006,46.0,0.656,0.624,-4.623,124.082
2001,77.0,0.481,0.638,-5.862,79.064
2012,77.0,0.765,0.837,-3.113,122.028
2000,65.0,0.614,0.928,-4.806,172.656
2000,60.0,0.644,0.874,-4.666,165.09
2001,45.0,0.699,0.403,-8.564,113.922
2001,50.0,0.745,0.807,-5.191,93.967
2014,64.0,0.65,0.786,-5.488,124.96
2004,56.0,0.809,0.965,-3.947,130.103
2014,77.0,0.545,0.783,-4.261,174.084
2018,7.0,0.719,0.704,-4.724,133.002
2019,4.0,0.682,0.656,-4.67,130.089
2003,69.0,0.801,0.645,-6.93,110.01
2000,58.0,0.736,0.802,-8.527,119.854
2000,58.0,0.631,0.734,-7.48,124.036
2000,53.0,0.699,0.618,-7.338,99.965
2003,53.0,0.792,0.797,-5.166,123.993
2005,74.0,0.649,0.647,-7.695,125.02
2005,61.0,0.589,0.877,-6.229,132.971
2009,71.0,0.753,0.931,-4.922,113.029
2008,57.0,0.837,0.954,-3.512,127.019
2015,77.0,0.509,0.671,-5.709,118.413
2000,62.0,0.634,0.677,-7.278,135.012
2010,77.0,0.791,0.59,-9.206,119.951
2013,0.0,0.733,0.818,-7.222,116.019
2002,63.0,0.571,0.953,-5.601,137.965
2019,57.0,0.786,0.658,-2.61,170.037
2017,65.0,0.532,0.868,-4.23,110.127
2017,61.0,0.763,0.72,-5.181,116.01
2017,78.0,0.836,0.544,-5.975,97.028
2019,79.0,0.794,0.793,-4.521,123.941
2004,57.0,0.741,0.869,-6.534,126.069
2012,62.0,0.54,0.856,-3.966,153.071
2017,59.0,0.583,0.785,-3.991,91.977
2002,77.0,0.712,0.862,-4.612,95.051
2007,62.0,0.803,0.851,-2.429,113.996
2010,67.0,0.703,0.81,-4.874,102.978
2010,77.0,0.722,0.761,-4.459,128.044
2012,74.0,0.716,0.821,-3.435,92.997
2012,82.0,0.743,0.752,-4.813,110.015
2012,66.0,0.656,0.674,-5.473,120.001
2014,79.0,0.279,0.742,-6.46,189.868
2014,0.0,0.737,0.723,-5.51,120.003
2014,0.0,0.744,0.783,-7.077,120.042
2018,68.0,0.783,0.61,-6.124,100.047
2017,0.0,0.697,0.716,-6.288,99.905
2018,73.0,0.851,0.541,-6.825,124.959
2001,63.0,0.822,0.672,-6.133,117.033
2001,60.0,0.585,0.702,-5.734,139.909
2005,79.0,0.64,0.743,-4.08,122.035
2009,67.0,0.23,0.492,-5.767,160.139
2009,73.0,0.338,0.803,-5.412,151.994
2000,68.0,0.491,0.593,-5.975,144.142
2003,57.0,0.447,0.636,-5.08,105.678
2005,1.0,0.129,0.358,-6.596,75.048
2006,0.0,0.272,0.203,-9.706,109.581
2020,39.0,0.527,0.834,-5.767,179.92
1999,64.0,0.761,0.716,-5.8,119.41
2004,65.0,0.663,0.746,-3.567,102.847
1999,56.0,0.598,0.868,-4.552,99.848
2019,1.0,0.738,0.861,-4.141,131.98
2013,71.0,0.719,0.671,-6.279,130.027
1999,56.0,0.745,0.958,-9.664,129.962
2008,77.0,0.851,0.806,-4.62,118.999
2008,69.0,0.894,0.678,-5.611,105.024
2008,76.0,0.822,0.739,-4.541,118.992
2008,70.0,0.762,0.692,-3.973,114.906
2009,80.0,0.696,0.921,-3.755,119.001
2009,67.0,0.623,0.793,-6.63,98.998
2009,69.0,0.824,0.836,-5.903,122.014
2011,72.0,0.587,0.828,-5.108,123.907
2011,67.0,0.583,0.768,-6.477,127.952
2018,82.0,0.572,0.385,-6.362,95.799
2019,43.0,0.786,0.614,-6.554,103.887
2012,73.0,0.509,0.538,-7.335,75.089
2014,80.0,0.418,0.42,-6.444,84.094
2014,62.0,0.688,0.841,-5.217,133.912
2014,79.0,0.656,0.627,-6.627,99.933
2015,66.0,0.261,0.302,-8.19,81.418
2017,79.0,0.681,0.372,-8.237,91.873
2019,73.0,0.477,0.682,-4.931,110.567
2019,75.0,0.741,0.52,-7.513,102.998
2006,64.0,0.309,0.783,-4.154,175.788
2007,58.0,0.357,0.774,-4.226,164.054
2010,57.0,0.514,0.83,-6.077,100.631
2017,73.0,0.538,0.804,-5.194,144.992
2017,61.0,0.588,0.749,-4.323,130.093
2013,88.0,0.445,0.537,-8.532,122.769
2000,58.0,0.751,0.901,-5.802,124.017
2000,62.0,0.631,0.664,-9.197,100.618
2008,63.0,0.639,0.976,-5.503,147.99
2008,65.0,0.645,0.984,-7.051,144.954
2001,45.0,0.783,0.726,-8.718,148.062
2010,77.0,0.635,0.841,-5.379,109.021
2010,76.0,0.498,0.59,-4.721,145.867
2010,78.0,0.704,0.558,-7.273,110.444
2010,75.0,0.794,0.711,-5.124,174.915
2010,75.0,0.621,0.82,-4.865,144.905
2012,85.0,0.726,0.698,-4.165,143.994
2011,74.0,0.576,0.835,-6.826,150.017
2012,78.0,0.874,0.692,-5.28,116.017
2012,83.0,0.612,0.28,-8.648,72.795
2016,78.0,0.818,0.803,-4.282,106.97
2017,74.0,0.704,0.859,-4.877,105.115
2005,67.0,0.86,0.907,-3.321,138.045
2018,79.0,0.553,0.586,-6.319,126.684
2014,72.0,0.806,0.608,-7.008,95.049
2014,69.0,0.818,0.67,-4.451,119.988
2013,71.0,0.581,0.0549,-20.514,152.037
2014,81.0,0.781,0.445,-6.061,78.998
2017,84.0,0.825,0.652,-3.183,95.977
2017,85.0,0.599,0.448,-6.312,95.05
2019,63.0,0.716,0.823,-5.313,151.957
2019,66.0,0.885,0.762,-5.513,138.058
2019,64.0,0.746,0.787,-6.373,95.005
2001,65.0,0.345,0.0581,-17.217,174.117
2001,65.0,0.878,0.724,-5.373,121.906
2008,73.0,0.699,0.76,-3.173,129.996
2008,73.0,0.706,0.841,-3.956,132.032
2008,49.0,0.524,0.878,-3.108,130.989
2012,72.0,0.791,0.754,-3.729,125.014
2010,69.0,0.719,0.798,-4.582,120.011
2010,72.0,0.638,0.832,-5.039,124.071
2012,65.0,0.62,0.869,-5.252,151.684
2012,74.0,0.649,0.815,-3.796,126.03
2012,73.0,0.678,0.918,-4.63,130.028
2012,72.0,0.687,0.792,-4.023,133.962
2012,65.0,0.514,0.683,-5.099,159.814
2013,60.0,0.69,0.636,-6.028,96.0
2013,0.0,0.555,0.729,-4.813,129.003
2013,73.0,0.554,0.772,-4.821,179.984
2013,74.0,0.647,0.585,-6.123,131.934
2017,69.0,0.562,0.8,-5.404,95.029
2009,51.0,0.589,0.893,-2.948,92.011
2017,1.0,0.869,0.485,-5.595,106.028
2018,62.0,0.541,0.787,-4.618,113.0
2006,68.0,0.632,0.639,-5.938,95.506
2009,54.0,0.719,0.861,-6.982,121.491
2009,53.0,0.661,0.847,-6.948,134.002
2012,0.0,0.738,0.875,-3.141,114.962
2015,1.0,0.777,0.896,-4.467,111.987
2017,1.0,0.773,0.747,-4.061,126.014
2014,0.0,0.685,0.709,-3.578,93.047
2016,69.0,0.654,0.623,-5.273,123.996
2004,61.0,0.739,0.999,-5.077,139.982
2003,55.0,0.641,0.445,-8.674,81.931
2011,71.0,0.651,0.695,-3.218,123.008
2013,79.0,0.504,0.785,-4.802,173.968
2015,0.0,0.586,0.613,-5.593,114.101
2015,64.0,0.594,0.749,-6.251,130.064
2010,66.0,0.799,0.783,-3.896,127.041
2001,54.0,0.668,0.772,-5.4,118.011
2005,75.0,0.675,0.479,-9.87,81.998
2005,67.0,0.432,0.261,-12.591,89.567
