popularity,danceability,energy,loudness,tempo,genre,hit
71.0,0.719,0.671,-6.279,130.027,pop,False
56.0,0.745,0.958,-9.664,129.962,pop,False
77.0,0.851,0.806,-4.62,118.999,pop,True
69.0,0.894,0.678,-5.611,105.024,pop,False
76.0,0.822,0.739,-4.541,118.992,pop,True
70.0,0.762,0.692,-3.973,114.906,pop,False
80.0,0.696,0.921,-3.755,119.001,pop,True
67.0,0.623,0.793,-6.63,98.998,pop,False
69.0,0.824,0.836,-5.903,122.014,pop,False
72.0,0.587,0.828,-5.108,123.907,pop,False
67.0,0.583,0.768,-6.477,127.952,pop,False
82.0,0.572,0.385,-6.362,95.799,pop,True
43.0,0.786,0.614,-6.554,103.887,pop,False
73.0,0.509,0.538,-7.335,75.089,pop,False
80.0,0.418,0.42,-6.444,84.094,pop,True
62.0,0.688,0.841,-5.217,133.912,pop,False
79.0,0.656,0.627,-6.627,99.933,pop,True
66.0,0.261,0.302,-8.19,81.418,pop,False
79.0,0.681,0.372,-8.237,91.873,pop,True
73.0,0.477,0.682,-4.931,110.567,pop,False
75.0,0.741,0.52,-7.513,102.998,pop,False
64.0,0.309,0.783,-4.154,175.788,pop,False
58.0,0.357,0.774,-4.226,164.054,pop,False
57.0,0.514,0.83,-6.077,100.631,pop,False
73.0,0.538,0.804,-5.194,144.992,pop,False
61.0,0.588,0.749,-4.323,130.093,pop,False
88.0,0.445,0.537,-8.532,122.769,pop,True
58.0,0.751,0.901,-5.802,124.017,pop,False
62.0,0.631,0.664,-9.197,100.618,pop,False
63.0,0.639,0.976,-5.503,147.99,pop,False
65.0,0.645,0.984,-7.051,144.954,pop,False
45.0,0.783,0.726,-8.718,148.062,pop,False
77.0,0.635,0.841,-5.379,109.021,pop,True
76.0,0.498,0.59,-4.721,145.867,pop,True
78.0,0.704,0.558,-7.273,110.444,pop,True
75.0,0.794,0.711,-5.124,174.915,pop,False
75.0,0.621,0.82,-4.865,144.905,pop,False
85.0,0.726,0.698,-4.165,143.994,pop,True
74.0,0.576,0.835,-6.826,150.017,pop,False
78.0,0.874,0.692,-5.28,116.017,pop,True
83.0,0.612,0.28,-8.648,72.795,pop,True
78.0,0.818,0.803,-4.282,106.97,pop,True
74.0,0.704,0.859,-4.877,105.115,pop,False
67.0,0.86,0.907,-3.321,138.045,pop,False
79.0,0.553,0.586,-6.319,126.684,pop,True
72.0,0.806,0.608,-7.008,95.049,pop,False
69.0,0.818,0.67,-4.451,119.988,pop,False
71.0,0.581,0.0549,-20.514,152.037,pop,False
81.0,0.781,0.445,-6.061,78.998,pop,True
84.0,0.825,0.652,-3.183,95.977,pop,True
85.0,0.599,0.448,-6.312,95.05,pop,True
63.0,0.716,0.823,-5.313,151.957,pop,False
66.0,0.885,0.762,-5.513,138.058,pop,False
64.0,0.746,0.787,-6.373,95.005,pop,False
65.0,0.345,0.0581,-17.217,174.117,pop,False
65.0,0.878,0.724,-5.373,121.906,pop,False
73.0,0.699,0.76,-3.173,129.996,pop,False
73.0,0.706,0.841,-3.956,132.032,pop,False
49.0,0.524,0.878,-3.108,130.989,pop,False
72.0,0.791,0.754,-3.729,125.014,pop,False
69.0,0.719,0.798,-4.582,120.011,pop,False
72.0,0.638,0.832,-5.039,124.071,pop,False
65.0,0.62,0.869,-5.252,151.684,pop,False
74.0,0.649,0.815,-3.796,126.03,pop,False
73.0,0.678,0.918,-4.63,130.028,pop,False
72.0,0.687,0.792,-4.023,133.962,pop,False
65.0,0.514,0.683,-5.099,159.814,pop,False
60.0,0.69,0.636,-6.028,96.0,pop,False
0.0,0.555,0.729,-4.813,129.003,pop,False
73.0,0.554,0.772,-4.821,179.984,pop,False
74.0,0.647,0.585,-6.123,131.934,pop,False
69.0,0.562,0.8,-5.404,95.029,pop,False
51.0,0.589,0.893,-2.948,92.011,pop,False
1.0,0.869,0.485,-5.595,106.028,pop,False
62.0,0.541,0.787,-4.618,113.0,pop,False
68.0,0.632,0.639,-5.938,95.506,pop,False
54.0,0.719,0.861,-6.982,121.491,pop,False
53.0,0.661,0.847,-6.948,134.002,pop,False
0.0,0.738,0.875,-3.141,114.962,pop,False
1.0,0.777,0.896,-4.467,111.987,pop,False
1.0,0.773,0.747,-4.061,126.014,pop,False
0.0,0.685,0.709,-3.578,93.047,pop,False
69.0,0.654,0.623,-5.273,123.996,pop,False
61.0,0.739,0.999,-5.077,139.982,pop,False
55.0,0.641,0.445,-8.674,81.931,pop,False
71.0,0.651,0.695,-3.218,123.008,pop,False
79.0,0.504,0.785,-4.802,173.968,pop,True
0.0,0.586,0.613,-5.593,114.101,pop,False
64.0,0.594,0.749,-6.251,130.064,pop,False
66.0,0.799,0.783,-3.896,127.041,pop,False
54.0,0.668,0.772,-5.4,118.011,pop,False
75.0,0.675,0.479,-9.87,81.998,pop,False
67.0,0.432,0.261,-12.591,89.567,pop,False
68.0,0.72,0.668,-7.928,123.007,pop,False
0.0,0.575,0.821,-5.7,118.021,pop,False
0.0,0.698,0.844,-4.789,105.828,pop,False
46.0,0.626,0.906,-4.334,118.035,pop,False
82.0,0.856,0.609,-7.223,114.988,pop,True
79.0,0.601,0.794,-5.844,114.066,pop,True
46.0,0.443,0.683,-5.521,81.986,pop,False
0.0,0.692,0.911,-5.098,138.975,pop,False
79.0,0.652,0.698,-4.667,96.021,pop,True
0.0,0.63,0.91,-2.919,116.98,pop,False
77.0,0.53,0.422,-6.262,119.964,pop,True
78.0,0.613,0.622,-5.794,80.003,pop,True
37.0,0.42,0.742,-5.665,149.965,pop,False
59.0,0.492,0.859,-4.274,92.474,pop,False
65.0,0.529,0.948,-3.527,146.024,pop,False
74.0,0.516,0.764,-6.223,148.021,pop,False
72.0,0.634,0.69,-7.804,94.988,pop,False
62.0,0.663,0.705,-4.972,122.014,pop,False
59.0,0.719,0.935,-3.752,120.022,pop,False
70.0,0.552,0.689,-6.444,99.961,pop,False
64.0,0.401,0.872,-3.641,104.592,pop,False
1.0,0.286,0.508,-5.966,68.637,pop,False
1.0,0.5,0.498,-6.087,79.798,pop,False
72.0,0.558,0.719,-5.113,112.027,pop,False
78.0,0.824,0.588,-6.4,98.027,pop,True
57.0,0.438,0.672,-4.706,185.934,pop,False
46.0,0.703,0.736,-5.709,119.955,pop,False
51.0,0.632,0.972,-2.423,87.0,pop,False
73.0,0.671,0.88,-6.149,136.953,pop,False
55.0,0.822,0.922,-5.798,163.826,pop,False
79.0,0.728,0.563,-8.053,100.017,pop,True
62.0,0.696,0.517,-8.379,112.291,pop,False
0.0,0.774,0.626,-4.432,100.041,pop,False
72.0,0.845,0.561,-5.253,109.974,pop,False
67.0,0.856,0.632,-3.692,112.009,pop,False
64.0,0.755,0.769,-5.658,114.966,pop,False
64.0,0.634,0.886,-5.424,93.04,pop,False
59.0,0.574,0.691,-5.103,91.969,pop,False
74.0,0.6,0.688,-8.339,99.977,pop,False
53.0,0.7,0.72,-6.061,106.986,pop,False
35.0,0.368,0.426,-8.049,106.52,pop,False
75.0,0.376,0.695,-4.782,169.533,pop,False
53.0,0.18,0.636,-6.591,75.223,pop,False
66.0,0.373,0.686,-5.52,93.763,pop,False
72.0,0.572,0.81,-5.791,126.052,pop,False
67.0,0.536,0.486,-11.067,131.988,pop,False
0.0,0.499,0.676,-8.618,99.979,pop,False
80.0,0.641,0.559,-11.132,144.982,pop,True
66.0,0.833,0.515,-5.0,97.007,pop,False
62.0,0.598,0.4,-10.054,96.938,pop,False
69.0,0.546,0.787,-4.1,79.979,pop,False
58.0,0.616,0.789,-4.874,83.066,pop,False
69.0,0.672,0.593,-4.01,98.02,pop,False
64.0,0.757,0.884,-5.488,120.012,pop,False
0.0,0.6,0.676,-6.447,88.928,pop,False
64.0,0.616,0.789,-4.874,83.066,pop,False
69.0,0.708,0.618,-4.424,123.013,pop,False
78.0,0.724,0.804,-4.614,124.987,pop,True
78.0,0.746,0.754,-6.684,149.882,pop,True
73.0,0.687,0.761,-4.582,113.939,pop,False
82.0,0.444,0.819,-4.078,82.695,pop,True
0.0,0.857,0.8,-4.035,121.996,pop,False
0.0,0.561,0.674,-4.882,148.127,pop,False
78.0,0.759,0.548,-6.049,116.967,pop,True
74.0,0.617,0.741,-3.97,118.984,pop,False
55.0,0.687,0.771,-4.424,129.964,pop,False
65.0,0.529,0.67,-4.663,141.893,pop,False
59.0,0.622,0.469,-6.798,77.019,pop,False
76.0,0.622,0.469,-6.798,77.019,pop,True
68.0,0.661,0.729,-6.561,103.987,pop,False
54.0,0.646,0.794,-6.104,170.216,pop,False
61.0,0.588,0.791,-5.595,94.933,pop,False
79.0,0.647,0.8,-5.384,160.078,pop,True
82.0,0.76,0.703,-5.412,95.997,pop,True
70.0,0.654,0.655,-7.388,170.16,pop,False
78.0,0.553,0.664,-7.417,140.06,pop,True
77.0,0.588,0.791,-5.595,94.933,pop,True
76.0,0.766,0.709,-6.471,128.07,pop,True
73.0,0.613,0.764,-6.509,160.015,pop,False
78.0,0.552,0.702,-5.707,169.994,pop,True
75.0,0.5,0.292,-8.554,145.879,pop,False
65.0,0.645,0.878,-3.208,82.324,pop,False
0.0,0.687,0.702,-5.324,129.956,pop,False
74.0,0.472,0.714,-4.389,98.992,pop,False
73.0,0.66,0.805,-5.352,103.008,pop,False
79.0,0.628,0.593,-5.036,125.026,pop,True
0.0,0.648,0.738,-5.883,159.145,pop,False
0.0,0.677,0.604,-5.32,134.052,pop,False
3.0,0.623,0.734,-5.948,107.853,pop,False
77.0,0.699,0.713,-5.507,121.993,pop,True
78.0,0.602,0.658,-5.934,145.031,pop,True
83.0,0.778,0.317,-10.732,140.048,pop,True
76.0,0.726,0.554,-5.29,169.999,pop,True
77.0,0.4,0.795,-3.731,190.097,pop,True
58.0,0.578,0.581,-6.867,83.293,pop,False
66.0,0.747,0.706,-4.653,94.019,pop,False
65.0,0.783,0.649,-4.127,103.997,pop,False
78.0,0.585,0.776,-5.898,77.987,pop,True
75.0,0.487,0.9,-4.417,149.937,pop,False
70.0,0.457,0.406,-7.462,151.95,pop,False
61.0,0.348,0.907,-3.66,185.406,pop,False
58.0,0.523,0.795,-2.92,144.106,pop,False
68.0,0.414,0.936,-2.407,170.229,pop,False
75.0,0.56,0.959,-2.433,163.983,pop,False
68.0,0.457,0.719,-3.921,142.034,pop,False
74.0,0.578,0.926,-3.689,149.976,pop,False
0.0,0.483,0.871,-3.084,164.986,pop,False
74.0,0.599,0.785,-4.013,140.046,pop,False
54.0,0.542,0.589,-6.813,133.838,pop,False
54.0,0.581,0.747,-6.682,146.301,pop,False
73.0,0.884,0.765,-3.865,99.987,pop,False
75.0,0.803,0.585,-5.861,105.017,pop,False
62.0,0.689,0.791,-5.194,95.04,pop,False
0.0,0.61,0.863,-2.632,83.993,pop,False
67.0,0.747,0.904,-2.623,118.877,pop,False
71.0,0.691,0.853,-2.528,145.999,pop,False
81.0,0.728,0.859,-5.237,65.043,pop,True
63.0,0.717,0.55,-6.019,96.979,pop,False
67.0,0.571,0.873,-3.382,139.691,pop,False
73.0,0.602,0.843,-4.831,128.003,pop,False
77.0,0.845,0.567,-8.118,125.02,pop,True
80.0,0.654,0.76,-3.669,99.945,pop,True
0.0,0.609,0.378,-9.828,100.418,pop,False
0.0,0.744,0.739,-5.35,104.99,pop,False
84.0,0.501,0.405,-5.679,109.891,pop,True
82.0,0.726,0.787,-2.494,124.99,pop,True
0.0,0.658,0.837,-2.063,126.015,pop,False
66.0,0.489,0.867,-3.121,162.131,pop,False
76.0,0.652,0.877,-2.986,118.491,pop,True
79.0,0.536,0.768,-5.948,77.217,pop,True
83.0,0.672,0.52,-7.747,120.001,pop,True
81.0,0.6,0.663,-5.802,121.07,pop,True
79.0,0.73,0.703,-5.672,138.113,pop,True
77.0,0.647,0.823,-5.231,99.933,pop,True
69.0,0.863,0.471,-9.545,140.969,pop,False
54.0,0.581,0.607,-8.458,102.03,pop,False
40.0,0.583,0.643,-7.486,195.685,pop,False
56.0,0.505,0.799,-4.286,174.001,pop,False
77.0,0.751,0.834,-5.444,95.053,pop,True
58.0,0.633,0.922,-4.842,84.11,pop,False
65.0,0.765,0.791,-5.707,95.026,pop,False
69.0,0.847,0.843,-3.579,110.027,pop,False
61.0,0.682,0.894,-1.73,95.992,pop,False
58.0,0.534,0.543,-6.857,78.996,pop,False
59.0,0.804,0.836,-6.635,120.046,pop,False
81.0,0.774,0.838,-3.914,143.04,pop,True
53.0,0.749,0.938,-4.423,111.014,pop,False
63.0,0.398,0.284,-12.852,109.599,pop,False
79.0,0.788,0.844,-3.131,113.324,pop,True
61.0,0.712,0.911,-3.866,117.533,pop,False
76.0,0.724,0.695,-5.226,139.0,pop,True
64.0,0.769,0.638,-5.054,115.007,pop,False
74.0,0.791,0.733,-5.215,114.98,pop,False
69.0,0.717,0.587,-7.296,129.954,pop,False
66.0,0.696,0.546,-6.55,130.002,pop,False
65.0,0.693,0.705,-5.747,131.951,pop,False
0.0,0.63,0.816,-6.535,128.012,pop,False
1.0,0.768,0.517,-4.323,104.992,pop,False
74.0,0.637,0.713,-4.333,129.923,pop,False
65.0,0.74,0.498,-6.684,98.016,pop,False
0.0,0.652,0.783,-4.829,117.952,pop,False
62.0,0.637,0.929,-6.03,136.482,pop,False
68.0,0.667,0.954,-3.462,114.03,pop,False
71.0,0.795,0.496,-5.883,94.01,pop,False
79.0,0.842,0.734,-5.065,137.958,pop,True
72.0,0.807,0.887,-3.726,134.052,pop,False
70.0,0.775,0.825,-5.402,139.091,pop,False
69.0,0.557,0.803,-3.599,92.134,pop,False
43.0,0.729,0.632,-8.75,109.981,pop,False
63.0,0.177,0.425,-6.211,182.571,pop,False
57.0,0.67,0.866,-3.684,140.029,pop,False
68.0,0.63,0.625,-5.088,167.998,pop,False
70.0,0.575,0.786,-4.353,96.102,pop,False
63.0,0.437,0.589,-4.834,133.631,pop,False
62.0,0.423,0.94,-4.012,149.934,pop,False
64.0,0.44,0.976,-3.17,150.005,pop,False
72.0,0.715,0.872,-3.835,93.043,pop,False
60.0,0.597,0.115,-9.217,111.202,pop,False
72.0,0.349,0.348,-6.142,74.541,pop,False
70.0,0.421,0.407,-7.445,139.028,pop,False
59.0,0.439,0.489,-6.286,143.808,pop,False
67.0,0.57,0.664,-4.718,162.084,pop,False
1.0,0.617,0.728,-7.932,139.066,pop,False
64.0,0.74,0.876,-6.87,127.002,pop,False
78.0,0.656,0.291,-10.572,103.971,pop,True
47.0,0.64,0.59,-7.442,83.133,pop,False
62.0,0.853,0.811,-4.927,114.964,pop,False
76.0,0.892,0.714,-6.055,100.972,pop,True
73.0,0.624,0.654,-6.582,73.898,pop,False
78.0,0.967,0.583,-5.562,117.0,pop,True
72.0,0.771,0.68,-5.881,119.952,pop,False
70.0,0.687,0.723,-4.751,76.0,pop,False
66.0,0.606,0.591,-7.228,95.802,pop,False
57.0,0.859,0.681,-6.247,121.243,pop,False
78.0,0.574,0.512,-6.664,76.899,pop,True
67.0,0.795,0.596,-3.799,101.985,pop,False
76.0,0.666,0.83,-5.715,113.03,pop,True
61.0,0.599,0.47,-8.356,127.177,pop,False
64.0,0.829,0.915,-3.205,118.903,pop,False
68.0,0.76,0.801,-3.769,109.919,pop,False
68.0,0.64,0.889,-3.073,99.931,pop,False
61.0,0.859,0.658,-4.481,98.989,pop,False
67.0,0.435,0.92,-1.357,188.899,pop,False
63.0,0.862,0.742,-4.722,127.91,pop,False
66.0,0.686,0.789,-4.713,172.976,pop,False
46.0,0.836,0.762,-5.044,133.592,pop,False
56.0,0.838,0.764,-5.076,133.592,pop,False
58.0,0.688,0.538,-7.608,119.998,pop,False
74.0,0.494,0.951,-4.237,160.025,pop,False
69.0,0.596,0.854,-5.114,120.274,pop,False
1.0,0.505,0.428,-5.604,175.813,pop,False
2.0,0.706,0.8,-6.333,100.011,pop,False
62.0,0.726,0.881,-3.892,110.019,pop,False
0.0,0.821,0.676,-6.366,119.012,pop,False
74.0,0.545,0.932,-2.189,92.956,pop,False
0.0,0.673,0.637,-4.518,123.98,rock,False
56.0,0.743,0.894,-6.886,95.9,rock,False
77.0,0.451,0.931,-3.871,122.961,rock,True
81.0,0.705,0.712,-6.156,97.512,rock,True
75.0,0.668,0.921,-3.727,120.0,rock,False
75.0,0.602,0.905,-4.046,128.019,rock,False
71.0,0.616,0.656,-7.298,150.071,rock,False
2.0,0.617,0.778,-8.871,100.363,rock,False
65.0,0.463,0.836,-2.776,141.955,rock,False
64.0,0.525,0.742,-5.643,117.029,rock,False
77.0,0.38,0.988,-2.042,186.113,rock,True
72.0,0.49,0.679,-3.68,167.046,rock,False
73.0,0.268,0.742,-4.939,159.779,rock,False
73.0,0.391,0.808,-6.209,100.304,rock,False
60.0,0.588,0.694,-4.278,126.027,rock,False
63.0,0.562,0.865,-6.476,124.047,rock,False
74.0,0.489,0.649,-5.11,158.009,rock,False
76.0,0.459,0.895,-3.126,181.04,rock,True
0.0,0.66,0.698,-4.722,123.005,rock,False
74.0,0.622,0.961,-3.198,114.452,rock,False
76.0,0.459,0.891,-5.057,154.837,rock,True
68.0,0.435,0.887,-4.07,199.935,rock,False
71.0,0.558,0.924,-4.341,151.99,rock,False
80.0,0.393,0.858,-2.868,176.042,rock,True
58.0,0.49,0.956,-4.556,160.028,rock,False
63.0,0.395,0.979,-3.241,158.842,rock,False
67.0,0.451,0.939,-2.82,93.416,rock,False
80.0,0.542,0.905,-5.653,153.398,rock,True
68.0,0.511,0.815,-3.14,154.514,rock,False
71.0,0.535,0.948,-4.19,103.183,rock,False
72.0,0.348,0.875,-4.758,169.152,rock,False
67.0,0.42,0.974,-4.706,165.182,rock,False
84.0,0.691,0.631,-6.478,92.004,rock,True
84.0,0.548,0.532,-7.596,85.03,rock,True
56.0,0.525,0.578,-4.563,123.696,rock,False
77.0,0.277,0.663,-8.821,104.561,rock,True
61.0,0.412,0.944,-2.896,123.091,rock,False
77.0,0.448,0.784,-3.686,136.245,rock,True
81.0,0.505,0.71,-3.015,89.938,rock,True
1.0,0.6,0.81,-4.749,167.88,rock,False
80.0,0.672,0.655,-5.021,134.945,rock,True
1.0,0.779,0.787,-4.305,124.982,rock,False
80.0,0.704,0.611,-6.112,100.0,rock,True
83.0,0.734,0.637,-5.677,169.977,rock,True
80.0,0.732,0.396,-9.348,90.024,rock,True
80.0,0.645,0.713,-5.355,74.989,rock,True
76.0,0.217,0.905,-4.103,96.95,rock,True
80.0,0.463,0.857,-3.063,111.647,rock,True
70.0,0.566,0.815,-4.481,169.961,rock,False
80.0,0.579,0.904,-2.729,82.014,rock,True
78.0,0.458,0.795,-3.265,123.229,rock,True
80.0,0.618,0.938,-3.442,91.455,rock,True
73.0,0.451,0.97,-4.938,122.444,rock,False
76.0,0.556,0.913,-2.36,96.184,rock,True
79.0,0.427,0.9,-3.674,104.655,rock,True
65.0,0.683,0.734,-4.523,106.254,rock,False
74.0,0.179,0.912,-3.881,182.99,rock,False
71.0,0.746,0.7,-4.669,176.044,latin,False
72.0,0.754,0.805,-4.249,93.982,latin,False
69.0,0.722,0.738,-6.073,198.075,latin,False
0.0,0.622,0.942,-6.365,130.003,latin,False
76.0,0.786,0.808,-3.702,105.027,latin,True
75.0,0.807,0.803,-4.156,91.987,latin,False
53.0,0.548,0.701,-4.862,104.237,latin,False
77.0,0.817,0.539,-6.349,97.062,latin,True
81.0,0.61,0.624,-4.773,176.169,latin,True
51.0,0.736,0.719,-3.839,90.013,latin,False
74.0,0.594,0.749,-5.298,179.968,latin,False
76.0,0.903,0.675,-3.445,96.507,latin,True
11.0,0.857,0.801,-6.499,96.009,latin,False
71.0,0.783,0.84,-3.416,95.001,latin,False
79.0,0.737,0.86,-2.652,93.989,latin,True
68.0,0.6,0.796,-4.481,105.991,metal,False
79.0,0.331,0.943,-3.188,94.612,metal,True
72.0,0.19,0.265,-9.206,79.012,metal,False
65.0,0.45,0.883,-4.094,93.41,metal,False
72.0,0.425,0.852,-5.607,101.968,metal,False
73.0,0.603,0.933,-3.358,96.306,metal,False
70.0,0.595,0.489,-6.66,120.315,metal,False
83.0,0.64,0.74,-4.083,116.879,metal,True
66.0,0.427,0.843,-4.54,147.387,metal,False
67.0,0.862,0.583,-6.26,103.019,set(),False
46.0,0.679,0.922,-4.67,129.016,set(),False
64.0,0.828,0.653,-6.245,68.507,set(),False
57.0,0.863,0.527,-6.896,129.054,set(),False
57.0,0.625,0.699,-6.416,75.974,set(),False
80.0,0.773,0.758,-4.993,144.033,set(),True
71.0,0.625,0.85,-3.904,94.661,set(),False
57.0,0.736,0.81,-6.354,125.011,set(),False
43.0,0.762,0.754,-3.425,129.026,set(),False
51.0,0.853,0.911,-6.722,131.012,set(),False
65.0,0.657,0.941,-3.919,136.202,set(),False
74.0,0.495,0.894,-4.814,126.03,set(),False
66.0,0.607,0.923,-6.777,184.819,set(),False
56.0,0.733,0.744,-3.51,92.515,set(),False
73.0,0.885,0.581,-8.813,114.016,set(),False
40.0,0.661,0.746,-5.153,144.188,set(),False
17.0,0.847,0.861,-6.632,127.894,set(),False
58.0,0.764,0.487,-6.734,116.027,set(),False
42.0,0.561,0.452,-7.324,77.984,set(),False
57.0,0.805,0.754,-6.825,128.429,set(),False
57.0,0.807,0.887,-3.892,160.517,set(),False
66.0,0.83,0.52,-8.714,104.99,set(),False
67.0,0.68,0.87,-4.461,119.075,country,False
50.0,0.616,0.596,-5.035,137.077,country,False
53.0,0.678,0.739,-5.068,127.037,country,False
