popularity,danceability,energy,loudness,tempo,genre
65,0.645,0.984,-7.051,144.954,7
45,0.783,0.726,-8.718,148.062,7
77,0.635,0.841,-5.379,109.021,7
76,0.498,0.59,-4.721,145.867,7
78,0.704,0.558,-7.273,110.444,7
75,0.794,0.711,-5.124,174.915,7
75,0.621,0.82,-4.865,144.905,7
85,0.726,0.698,-4.165,143.994,7
74,0.576,0.835,-6.826,150.017,7
78,0.874,0.692,-5.28,116.017,7
83,0.612,0.28,-8.648,72.795,7
78,0.818,0.803,-4.282,106.97,7
74,0.704,0.859,-4.877,105.115,7
67,0.86,0.907,-3.321,138.045,7
79,0.553,0.586,-6.319,126.684,7
72,0.806,0.608,-7.008,95.049,7
69,0.818,0.67,-4.451,119.988,7
71,0.581,0.0549,-20.514,152.037,7
81,0.781,0.445,-6.061,78.998,7
84,0.825,0.652,-3.183,95.977,7
85,0.599,0.448,-6.312,95.05,7
63,0.716,0.823,-5.313,151.957,7
66,0.885,0.762,-5.513,138.058,7
64,0.746,0.787,-6.373,95.005,7
65,0.345,0.0581,-17.217,174.117,7
65,0.878,0.724,-5.373,121.906,7
73,0.699,0.76,-3.173,129.996,7
73,0.706,0.841,-3.956,132.032,7
49,0.524,0.878,-3.108,130.989,7
72,0.791,0.754,-3.729,125.014,7
69,0.719,0.798,-4.582,120.011,7
72,0.638,0.832,-5.039,124.071,7
65,0.62,0.869,-5.252,151.684,7
74,0.649,0.815,-3.796,126.03,7
73,0.678,0.918,-4.63,130.028,7
72,0.687,0.792,-4.023,133.962,7
65,0.514,0.683,-5.099,159.814,7
60,0.69,0.636,-6.028,96.0,7
0,0.555,0.729,-4.813,129.003,7
73,0.554,0.772,-4.821,179.984,7
74,0.647,0.585,-6.123,131.934,7
69,0.562,0.8,-5.404,95.029,7
51,0.589,0.893,-2.948,92.011,7
1,0.869,0.485,-5.595,106.028,7
62,0.541,0.787,-4.618,113.0,7
68,0.632,0.639,-5.938,95.506,7
54,0.719,0.861,-6.982,121.491,7
53,0.661,0.847,-6.948,134.002,7
0,0.738,0.875,-3.141,114.962,7
1,0.777,0.896,-4.467,111.987,7
1,0.773,0.747,-4.061,126.014,7
0,0.685,0.709,-3.578,93.047,7
69,0.654,0.623,-5.273,123.996,7
61,0.739,0.999,-5.077,139.982,7
55,0.641,0.445,-8.674,81.931,7
71,0.651,0.695,-3.218,123.008,7
79,0.504,0.785,-4.802,173.968,7
0,0.586,0.613,-5.593,114.101,7
64,0.594,0.749,-6.251,130.064,7
66,0.799,0.783,-3.896,127.041,7
54,0.668,0.772,-5.4,118.011,7
75,0.675,0.479,-9.87,81.998,7
67,0.432,0.261,-12.591,89.567,7
68,0.72,0.668,-7.928,123.007,7
0,0.575,0.821,-5.7,118.021,7
